gid	RNAkb	gene	firstRPKM	expandedRPKM	finalRPKM	fractionMulti
100008564	17.422	RP23-273B19.1	0.07	0.07	0.27	0.79
100009600	1.010	Glp1	0.03	0.03	0.02	0.00
100009609	2.481	ENSMUSG00000070600	0.00	0.00	0.00	0.00
100009698	1.497	LOC100009698	0.02	0.02	0.03	0.50
100012	1.832	Oog3	0.00	0.00	0.00	0.00
100017	3.783	Ldlrap1	9.95	7.47	5.89	0.01
100019	17.959	Mdn1	0.61	0.62	0.49	0.00
100033452	1.231	LOC100033452	0.13	0.12	3.35	0.97
100033459	2.987	9830148g24rik	0.01	0.01	0.07	0.89
100034251	0.469	RP23-430I21.1	22.36	22.86	18.28	0.02
100034361	1.889	Mfap1b	0.27	0.26	3.29	0.94
100034363	0.716	LOC100034363	0.23	0.17	0.23	0.43
100034662	1.686	LOC100034662	0.46	0.43	0.83	0.59
100034684	0.441	BC100530	0.00	0.00	0.00	0.00
100034724	0.698	LOC100034724	0.00	0.00	7.89	1.00
100034726	0.539	LOC100034726	0.06	0.06	12.89	1.00
100034727	0.495	LOC100034727	0.00	0.00	21.12	1.00
100034728	0.504	LOC100034728	0.00	0.00	18.55	1.00
100034729	1.974	LOC100034729	0.00	0.00	0.00	0.00
100036518	1.086	LOC100036518	0.00	0.00	0.00	0.00
100036521	2.221	LOC100036521	7.48	6.98	5.49	0.01
100037258	5.128	LOC100037258	50.93	43.15	34.05	0.01
100037278	2.482	LOC100037278	0.07	0.06	0.05	0.00
100037282	2.024	LOC100037282	1.35	2.25	10.73	0.84
100037283	1.836	LOC100037283	2.25	2.08	27.31	0.94
100038380	1.555	LOC100038380	0.06	0.06	0.05	0.00
100038429	0.660	LOC100038429	0.10	0.09	0.11	0.34
100038486	3.862	LOC100038486	0.03	0.02	0.03	0.44
100038493	0.587	LOC100038493	0.00	0.00	0.00	0.00
100038514	1.425	LOC100038514	7.59	3.80	2.97	0.00
100038570	0.886	LOC100038570	0.15	0.14	0.11	0.00
100038598	0.525	LOC100038598	0.00	0.00	0.00	0.00
100038600	2.063	LOC100038600	0.02	0.01	0.01	0.00
100038618	1.606	LOC100038618	0.02	0.02	0.02	0.00
100038635	5.968	LOC100038635	0.13	0.11	0.11	0.19
100038680	3.419	LOC100038680	0.00	0.00	0.00	0.00
100038683	1.203	LOC100038683	0.00	0.00	0.00	0.00
100038703	0.912	LOC100038703	0.14	0.13	0.10	0.00
100038822	4.531	LOC100038822	13.50	4.09	3.21	0.00
100038824	1.534	LOC100038824	0.19	0.14	0.11	0.00
100038830	2.439	LOC100038830	0.00	0.00	0.03	1.00
100038833	1.606	LOC100038833	0.00	0.00	0.07	1.00
100038842	1.159	LOC100038842	16.38	7.61	5.99	0.01
100038846	0.981	LOC100038846	0.00	0.00	0.00	0.00
100038847	1.955	LOC100038847	0.00	0.00	0.00	0.00
100038850	0.783	LOC100038850	0.00	0.00	0.03	1.00
100038852	0.814	LOC100038852	89.89	41.69	473.04	0.93
100038854	0.387	LOC100038854	0.00	0.00	0.00	0.00
100038857	1.832	LOC100038857	0.00	0.00	0.00	0.00
100038858	0.945	LOC100038858	0.48	0.22	4.06	0.96
100038859	0.948	LOC100038859	0.00	0.00	0.00	0.00
100038860	0.948	LOC100038860	0.00	0.00	0.00	0.00
100038862	3.555	LOC100038862	0.05	0.04	0.06	0.46
100038868	1.382	LOC100038868	0.47	0.44	0.94	0.63
100038875	0.509	LOC100038875	0.00	0.00	40.89	1.00
100038882	1.596	LOC100038882	5.89	2.92	3.14	0.27
100038887	0.792	LOC100038887	71.44	70.33	56.99	0.03
100038888	1.512	LOC100038888	0.00	0.00	0.02	1.00
100038890	2.236	LOC100038890	49.97	26.69	21.01	0.01
100038891	0.888	LOC100038891	0.00	0.00	0.00	0.00
100038893	1.108	LOC100038893	0.00	0.00	0.00	0.00
100038894	1.151	LOC100038894	0.03	0.00	0.00	0.00
100038895	1.243	LOC100038895	0.03	0.00	0.00	0.00
100038897	1.149	LOC100038897	0.00	0.00	0.00	0.00
100038898	1.252	LOC100038898	0.00	0.00	0.00	0.00
100038902	1.236	LOC100038902	0.00	0.00	0.00	0.00
100038903	1.085	LOC100038903	0.00	0.00	0.00	0.00
100038908	1.821	LOC100038908	0.00	0.00	0.16	1.00
100038909	2.130	LOC100038909	0.00	0.00	0.18	1.00
100038912	0.713	LOC100038912	0.05	0.04	0.03	0.00
100038914	2.966	LOC100038914	0.00	0.00	0.01	1.00
100038926	0.389	LOC100038926	0.00	0.00	0.06	1.00
100038927	0.212	LOC100038927	0.00	0.00	0.11	1.00
100038935	0.973	LOC100038935	0.00	0.00	0.00	0.00
100038937	0.856	LOC100038937	0.00	0.00	0.00	0.00
100038939	0.869	LOC100038939	0.00	0.00	0.00	0.00
100038940	3.069	LOC100038940	0.00	0.00	0.00	0.00
100038941	2.713	LOC100038941	0.00	0.00	0.00	0.00
100038942	2.553	LOC100038942	0.00	0.00	0.00	0.00
100038944	1.563	LOC100038944	0.00	0.00	0.00	0.00
100038945	2.599	LOC100038945	1.20	0.60	0.50	0.05
100038946	3.122	LOC100038946	0.00	0.00	0.00	0.00
100038947	1.515	LOC100038947	0.04	0.04	0.06	0.50
100038948	1.003	LOC100038948	5.92	5.49	35.35	0.88
100038949	4.439	LOC100038949	0.01	0.01	0.01	0.00
100038952	4.742	LOC100038952	0.00	0.00	0.00	0.00
100038953	15.981	LOC100038953	0.00	0.00	0.06	1.00
100038954	0.326	LOC100038954	0.00	0.00	0.72	1.00
100038955	18.511	LOC100038955	0.00	0.00	0.00	1.00
100038956	1.056	LOC100038956	0.00	0.00	0.07	1.00
100038957	1.187	LOC100038957	0.00	0.00	0.00	0.00
100038958	0.300	LOC100038958	0.00	0.00	0.00	0.00
100038959	0.453	LOC100038959	1.36	1.33	1.04	0.00
100038960	41.344	LOC100038960	0.00	0.00	0.00	1.00
100038961	1.340	LOC100038961	0.87	0.81	2.29	0.72
100038962	2.282	LOC100038962	0.00	0.00	0.00	0.00
100038963	15.769	LOC100038963	0.00	0.00	0.00	0.00
100038964	0.786	LOC100038964	0.00	0.00	0.15	1.00
100038965	0.870	LOC100038965	0.00	0.00	0.54	1.00
100038967	3.453	LOC100038967	0.00	0.00	0.01	1.00
100038968	23.635	LOC100038968	0.00	0.00	0.00	1.00
100038969	0.686	LOC100038969	0.05	0.04	0.17	0.81
100038971	1.185	LOC100038971	0.00	0.00	0.00	0.00
100038972	0.471	LOC100038972	0.00	0.00	0.05	1.00
100038973	0.896	LOC100038973	2.21	2.05	38.92	0.96
100038974	46.501	LOC100038974	0.06	0.05	0.05	0.19
100038975	0.250	LOC100038975	0.00	0.00	0.00	0.00
100038976	0.340	LOC100038976	0.00	0.00	0.00	0.00
100038977	1.093	LOC100038977	0.00	0.00	0.00	0.00
100038978	0.634	LOC100038978	0.00	0.00	0.11	1.00
100038979	3.097	LOC100038979	0.00	0.00	0.00	0.00
100038980	2.052	LOC100038980	0.00	0.00	0.00	0.00
100038981	1.705	LOC100038981	0.08	0.07	0.05	0.00
100038982	2.727	LOC100038982	0.01	0.01	0.10	0.92
100038983	1.005	LOC100038983	0.00	0.00	0.00	0.00
100038984	0.489	LOC100038984	0.00	0.00	0.00	0.00
100038985	1.341	LOC100038985	0.05	0.04	0.10	0.69
100038986	0.683	LOC100038986	0.00	0.00	0.00	0.00
100038987	16.827	LOC100038987	0.00	0.00	0.00	0.00
100038989	1.125	LOC100038989	0.00	0.00	0.00	0.00
100038990	0.552	LOC100038990	0.00	0.00	0.00	0.00
100038991	0.518	LOC100038991	9.21	8.54	191.87	0.97
